Workplace Example,Element Name,Hot Technology,In Demand
Career Zone,Data base user interface and query software,N,N
Career decision-making programs,Data base user interface and query software,N,N
Career management systems CMS,Data base user interface and query software,N,N
Careerbuilder.com,Human resources software,N,N
Cargo tracking system software,Inventory management software,N,N
CargoWise ediEnterprise,Materials requirements planning logistics and supply chain software,N,N
Carlson Civil Suite,Computer aided design CAD software,N,N
Carlson Simplicity Sight Survey,Analytical or scientific software,N,N
Carlson SurvCADD,Computer aided design CAD software,N,N
Carlson SurvCE,Analytical or scientific software,N,N
Carlson Survey,Map creation software,N,N
Carpet Dealer Management System CDMS,Data base user interface and query software,N,N
Carrier Hourly Analysis Program HAP,Analytical or scientific software,N,N
Carrier-mediated transport software,Analytical or scientific software,N,N
Cartesis ES Magnitude,Enterprise resource planning ERP software,N,N
Cartesis Magnitude iAnalysis,Financial analysis software,N,N
Cartography software,Map creation software,N,N
Casamba Smart,Medical software,N,N
Cascading style sheets CSS,Web platform development software,Y,N
Case analysis software,Analytical or scientific software,N,N
Case management software,Medical software,N,N
Case management system software,Data base user interface and query software,N,N
CaseBank SpotLight,Analytical or scientific software,N,N
CaseManagement.com E-Reports,Medical software,N,N
CaseSoft DepPrep,Document management software,N,N
CaseSoft TextMap,Document management software,N,N
CaseSoft TimeMap,Pattern design software,N,N
CaseWare International IDEA,Financial analysis software,N,N
CaseWare International IDEA SmartAnalyzer,Financial analysis software,N,N
CaseWare Working Papers,Financial analysis software,N,N
Cash flow software,Financial analysis software,N,N
CashFlow Guardian,Financial analysis software,N,N
Castek Insure3 Claims,Document management software,N,N
Catalog navigation software,Data base management system software,N,N
Cataloging software,Library software,N,N
Catalyst International CatalystConnect,Materials requirements planning logistics and supply chain software,N,N
Catalyst Repository Systems CatalystCR,Document management software,N,N
Catalyst Repository Systems CatalystDR,Electronic mail software,N,N
Catalyst Repository Systems CatalystXE,Electronic mail software,N,N
Catapult Software iPower SCADA,Industrial control software,N,N
CatchTheWeb,Data base user interface and query software,N,N
Catchlog Trading Catchlog,Data base user interface and query software,N,N
Category Fluency Test,Medical software,N,N
CaterPro,Data base user interface and query software,N,N
Caterpillar Cat MineStar System,Enterprise resource planning ERP software,N,N
Caterpillar Command,Industrial control software,N,N
CattleWorks,Enterprise resource planning ERP software,N,N
Cattlesoft CattleMax,Data base user interface and query software,N,N
Cave5D,Analytical or scientific software,N,N
Cebos MQ1 Audit System,Financial analysis software,N,N
Cedaron Dexter Evaluation & Impairment Rating,Analytical or scientific software,N,N
Cedrus SuperLab Pro,Analytical or scientific software,N,N
Cegedim Target Software Target SFA Pharmaceutical Suite,Customer relationship management CRM software,N,N
Celeritive Technologies VoluMill,Computer aided manufacturing CAM software,N,N
Cell Bioscience Automated Image Capture,Analytical or scientific software,N,N
Celsys RETAS,Graphics or photo imaging software,N,N
Cengage Learning Sniffy the Virtual Rat,Computer based training software,N,N
Cenon,Graphics or photo imaging software,N,N
Centaur Systems Centaur Travel Business Management System TBMS,Customer relationship management CRM software,N,N
Center TRACON automation systems CTAS,Expert system software,N,N
Center for Computer-Assisted Legal Instruction CALI Author,Computer based training software,N,N
Center for Computer-Assisted Legal Instruction CALI Classcaster,Web page creation and editing software,N,N
Centers for Disease Control and Prevention CDC WONDER,Data base user interface and query software,N,N
Centers for Disease Control and Prevention Epi Info,Analytical or scientific software,N,N
Central Desktop,Project management software,N,N
Centre for Multilevel Modeling MLwiN,Analytical or scientific software,N,N
Centris Group IEP Direct,Data base user interface and query software,N,N
Centris Group RTIm Direct,Data base user interface and query software,N,N
Cents,Point of sale POS software,N,N
Cerebro CerebroMix,Analytical or scientific software,N,N
Ceridian Dayforce enterprise HCM,Human resources software,N,N
Cerner CoPathPlus,Medical software,N,N
Cerner Millennium,Medical software,N,N
Cerner Millennium PathNet,Medical software,N,N
Cerner Millennium PathNet Blood Bank Transfusion,Medical software,N,N
Cerner Millennium ProFit,Accounting software,N,N
Cerner PowerChart,Medical software,N,N
Cerner PowerWorks Practice Management,Medical software,N,N
Cerner ProFile,Medical software,N,N
CfMC COSI,Graphics or photo imaging software,N,N
CfMC SoundSurvent,Interactive voice response software,N,N
Chalkware Education Solutions IEPPro,Data base user interface and query software,N,N
Chang Bioscience ToolKit,Analytical or scientific software,N,N
Chaos Enscape,Computer aided design CAD software,N,Y
Chaos Group V-Ray,Video creation and editing software,N,N
Character Studio,Graphics or photo imaging software,N,N
Character generator software,Video creation and editing software,N,N
Charles River Development Charles River Investment Management System,Financial analysis software,N,N
Charm++,Object or component oriented development software,N,N
Chart Links,Medical software,N,N
ChartWare EMR,Medical software,N,N
Chase Software Solutions Court Reporting Software,Data base user interface and query software,N,N
Chat software,Network conferencing software,N,N
Chatbot software,Industrial control software,N,N
Check Point Next Generation Secure Web Gateway,Transaction security and virus protection software,N,N
Check imaging software,Graphics or photo imaging software,N,N
Check processing software,Document management software,N,N
Check sorting control software,Industrial control software,N,N
Cheetah International SmartCAT,Word processing software,N,N
Cheetah3D,Graphics or photo imaging software,N,N
Chef,Configuration management software,Y,N
ChefDesk Chef's Calculators,Analytical or scientific software,N,N
Chem2Pac,Analytical or scientific software,N,N
ChemInnovation Software Chem 4-D,Computer aided design CAD software,N,N
ChemSW Buffer Maker,Data base user interface and query software,N,N
ChemSW Calibration Pro,Analytical or scientific software,N,N
ChemSW Chemical Inventory System CIS,Inventory management software,N,N
ChemSW Laboratory Document Control System LDCS,Document management software,N,N
ChemSW Mass Spec Tools,Analytical or scientific software,N,N
ChemSW Molecular Modeling Pro,Computer aided design CAD software,N,N
ChemSW Uncertainty Pro,Analytical or scientific software,N,N
ChemStat,Analytical or scientific software,N,N
ChemicaLogic SteamTab,Analytical or scientific software,N,N
Chemical kinetics software,Analytical or scientific software,N,N
Chemical management tracking software,Data base user interface and query software,N,N
Chemicals and Irrigation CANDI,Analytical or scientific software,N,N
Chemistry at Harvard Molecular Mechanics CHARMm,Analytical or scientific software,N,N
Chempute Software ChemDraw,Graphics or photo imaging software,N,N
Chempute Software Engineer's Aide SINET,Analytical or scientific software,N,N
Chempute Software EstPro,Financial analysis software,N,N
Chempute Software HSC Chemistry,Analytical or scientific software,N,N
Chempute Software SuperPro Designer,Analytical or scientific software,N,N
Chempute Software VisiMix,Analytical or scientific software,N,N
Chemstations CHEMCAD,Analytical or scientific software,N,N
Chesapeake Interlink Needles,Data base user interface and query software,N,N
Cheshire Financial Planning Suite,Financial analysis software,N,N
Children's Depression Inventory,Medical software,N,N
Children's educational software,Computer based training software,N,N
Chilled Water System Analysis Tool CWSAT,Analytical or scientific software,N,N
Chinotec Technologies Paros,Transaction security and virus protection software,N,N
Chip design software,Computer aided design CAD software,N,N
ChiroSoft,Medical software,N,N
ChiroTouch EHR,Medical software,N,N
Choice Job Cost,Accounting software,N,N
Choice Technologies PowerBill +,Billing and invoicing software,N,N
ChordWizard Software Soundtrix Gold,Music or sound editing software,N,N
Chorel Technology Dance Designer,Graphics or photo imaging software,N,N
Choreography software,Graphics or photo imaging software,N,N
Chrome River Expense,Accounting software,N,N
Chyron CAMIO,Graphics or photo imaging software,N,N
Cimatron CimatronE,Computer aided manufacturing CAM software,N,N
Cimatron CimatronE Master,Computer aided design CAD software,N,N
Cimatron computer-aided design and manufacturing software,Computer aided manufacturing CAM software,N,N
Circle Systems Stat/Transfer,Analytical or scientific software,N,N
Circuit evaluation software,Analytical or scientific software,N,N
Circuit simulation software,Analytical or scientific software,N,N
Cirrus Group Daycare Works,Enterprise resource planning ERP software,N,N
Cisco AnyConnect,Access software,N,N
Cisco IOS,Operating system software,N,N
Cisco Systems Cisco NetFlow Collection Engine,Network monitoring software,N,N
Cisco Systems Cisco Traffic Analyzer,Network monitoring software,N,N
Cisco Systems Cisco Web Cache Communication Protocol WCCP,Switch or router software,N,N
Cisco Systems CiscoWorks,Administration software,N,N
Cisco Systems CiscoWorks LAN Management Solution,Administration software,N,N
Cisco Systems Gateway Load Balancing Protocol GLBP,Switch or router software,N,N
Cisco Systems Hot Standby Router Protocol HSRP,Switch or router software,N,N
Cisco Systems VPN Client,Network security or virtual private network VPN management software,N,N
Cisco Systems WAN Manager,Software defined networking/ virtualization software,N,N
Cisco Systems Wireless Control System WCS,Administration software,N,N
Cisco Webex,Video conferencing software,Y,N
Cision CisionPoint,Data base user interface and query software,N,N
Citect IIM,Industrial control software,N,N
CitectSCADA Reports,Industrial control software,N,N
Citi The Yield Book Calculator,Financial analysis software,N,N
Citilabs Cube,Analytical or scientific software,N,N
